date,Afghanistan,Albania,Algeria,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belarus,Belgium,Benin,Bhutan,Bosnia and Herzegovina,Brazil,Bulgaria,Burkina Faso,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Costa Rica,Croatia,Cuba,Cyprus,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,South Korea,Kuwait,Kyrgyzstan,Latvia,Lebanon,Liberia,Lithuania,Luxembourg,Madagascar,Malaysia,Mauritania,Mexico,Mongolia,Montenegro,Morocco,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Slovakia,Slovenia,Somalia,South Africa,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Thailand,Togo,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,UAE,UK,USA,Uruguay,Uzbekistan,Vietnam,Zambia,Zimbabwe,Singapore,Diamond Princess
1/22/20,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/20,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/20,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/20,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/20,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/20,,,,,,,,,,,,,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/28/20,,,,,,,,,,,,,,,,,,,,,,,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/29/20,,,,,,,,,,,,,,,,,,,,,,,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/30/20,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/31/20,,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/20,,,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/20,,,,,,,,,,,,,,,,,,,,,,,,,361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/20,,,,,,,,,,,,,,,,,,,,,,,,,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/20,,,,,,,,,,,,,,,,,,,,,,,,,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/5/20,,,,,,,,,,,,,,,,,,,,,,,,,563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/6/20,,,,,,,,,,,,,,,,,,,,,,,,,633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/20,,,,,,,,,,,,,,,,,,,,,,,,,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/20,,,,,,,,,,,,,,,,,,,,,,,,,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/20,,,,,,,,,,,,,,,,,,,,,,,,,905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/20,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/20,,,,,,,,,,,,,,,,,,,,,,,,,1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/12/20,,,,,,,,,,,,,,,,,,,,,,,,,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/13/20,,,,,,,,,,,,,,,,,,,,,,,,,1369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/14/20,,,,,,,,,,,,,,,,,,,,,,,,,1521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/15/20,,,,,,,,,,,,,,,,,,,,,,,,,1663,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/20,,,,,,,,,,,,,,,,,,,,,,,,,1766,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/17/20,,,,,,,,,,,,,,,,,,,,,,,,,1864,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/18/20,,,,,,,,,,,,,,,,,,,,,,,,,2003,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/20,,,,,,,,,,,,,,,,,,,,,,,,,2116,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/20/20,,,,,,,,,,,,,,,,,,,,,,,,,2238,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/21/20,,,,,,,,,,,,,,,,,,,,,,,,,2238,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/22/20,,,,,,,,,,,,,,,,,,,,,,,,,2443,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/20,,,,,,,,,,,,,,,,,,,,,,,,,2445,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/24/20,,,,,,,,,,,,,,,,,,,,,,,,,2595,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,12,,,,7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/25/20,,,,,,,,,,,,,,,,,,,,,,,,,2665,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,16,,,,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/26/20,,,,,,,,,,,,,,,,,,,,,,,,,2717,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,19,,,,12,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/27/20,,,,,,,,,,,,,,,,,,,,,,,,,2746,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,26,,,,17,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/28/20,,,,,,,,,,,,,,,,,,,,,,,,,2790,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,34,,,,21,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/29/20,,,,,,,,,,,,,,,,,,,,,,,,,2837,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,43,,,,29,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
3/1/20,,,,,,,1,,,,,,,,,,,,,,,,,,2872,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,54,,,,34,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,
3/2/20,,,,,,,1,,,,,,,,,,,,,,,,,,2914,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,66,,,,52,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,,,,,
3/3/20,,,,,,,1,,,,,,,,,,,,,,,,,,2947,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,77,,,,79,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,7,,,,,,,
3/4/20,,,,,,,2,,,,,,,,,,,,,,,,,,2983,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,92,2,,,107,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,11,,,,,,,
3/5/20,,,,,,,2,,,,,,,,,,,,,,,,,,3015,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,107,2,,,148,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,,,1,1,,,,,,,,1,12,,,,,,,
3/6/20,,,,,,,2,,,,,,,,,,,,,,,,,,3044,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,124,3,,,197,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,5,,,,,1,1,,,,,,,,2,14,,,,,,,
3/7/20,,,,,,,2,,,,,,,,,,,,,,,,,,3072,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,145,4,,,233,,6,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,10,,,,,1,1,,,,,,,,2,17,,,,,,,
3/8/20,,,,,1,,3,,,,,,,,,,,,,,,,,,3100,,,,,,,,,,,1,,,,,,,,19,,,,,,,,,,,,,,,194,6,,,366,,6,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,17,,,,,2,1,,,,,,,,3,21,,,,,,,
3/9/20,,,,,1,,3,,,,,,,,,,,,,,1,,,,3123,,,,,,,,,,,1,,,,,,,,19,,,2,,,,,,,,,,,,237,6,,,463,,10,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,28,,,,,2,1,,,,,,,,4,22,,,,,,,
3/10/20,,,,,1,,3,,,,,,,,,,,,,,1,,,,3139,,,,,,,,,,,1,,,,,,,,33,,,2,,,,,,,,,,,,291,7,,,631,,10,,,,,,,,1,,,,,,,,,,1,,,4,,,,,,,,,,,,1,,,,,,,,,,,,,,35,,,,,3,1,,,,,,,,6,28,,,,,,,
3/11/20,,1,,,1,,3,,,,,3,,,,,1,,,,1,,,,3161,,,,,,,,,,,1,,,,,,,,48,,,3,,1,,,,,,,,1,1,354,7,1,,827,,15,,,,,,,,3,,,,,,,,,,1,,,5,,,,,,,,1,,,,1,,,,,,,,,,,,,,54,,,,1,4,1,,,,,,,,8,36,,,,,,,
3/12/20,,1,1,,1,,3,1,,,,3,,,,,1,,,,1,,,,3172,,,,,,,,,,,1,,,,,,,,48,,,3,,1,,,1,,,,,1,1,429,8,1,,827,,16,,,,,,,,3,,,,,,,,,,1,,,5,,,,,,,,1,,,,2,1,,,,,,,,,,,,,55,,,,1,4,1,,,,,,,,8,40,,,,,,,
3/13/20,,1,2,,2,,3,1,1,,,3,,,,,1,,,,1,,,,3180,,,,,,,,,,,2,,,,,,,,79,,,7,,1,,,1,,,,,2,4,514,9,1,,1266,,19,,,,,,,,3,,,,,,,,,,1,,,10,,,,,,,,1,,,,5,2,,,,,,,,,,,,,133,,1,,1,11,1,,,,,,1,,8,47,,,,,,,
3/14/20,,1,3,,2,,3,1,1,,,4,,,,,2,,,,1,,,,3193,,,,,,,1,,,2,2,,,,,,,,91,,,9,,3,,,1,,,,,2,5,611,10,2,,1441,,22,,,,,,,,3,,,1,,,,,,,1,,,12,,,,,3,,,1,,,,8,3,,,,,,,,,,1,,,195,,1,,2,13,1,,,,,,1,,21,54,,,,,,,
3/15/20,,1,4,,2,,3,1,1,,,4,,,,,2,,,,1,,,,3203,,,,,,,2,,,2,2,,,,,,,,91,,,11,,4,,,1,,,1,5,2,5,724,10,2,,1809,,22,,,,,,,,3,,,1,,,,,,,1,,,20,,,,,3,,,1,,,,11,3,,,,,,,,,,1,,,289,,1,,3,14,1,,,,,,1,,21,63,,,,,,,
3/16/20,,1,4,,2,,3,3,1,,,5,,,,,2,,,,4,,,,3217,,,,,,,3,,,2,2,,,,,,,,148,,,17,,4,1,,1,,,1,,2,5,853,10,2,,2158,,27,,,,,,,,3,,,1,,,,,,,1,,,24,,,,,3,,,1,,,,12,4,,,,,,,,,,1,,,342,,1,,6,14,1,,,,,,1,,56,85,,,,,,,
3/17/20,,1,4,,2,,5,3,1,,,10,,,,1,2,,,,5,,,,3230,,,,,,,4,,1,2,4,,,,,,,,148,,,24,,5,1,,1,,,1,1,3,5,988,11,2,,2503,,29,,,,,,,,3,,,1,,2,,,,,2,,,43,,,,,3,,,1,,,,12,5,1,,,,,,,,,1,,,533,,1,,7,27,1,,,,1,,2,,56,108,,,,,,,
3/18/20,,2,7,,2,,6,4,1,1,,14,,,,3,2,1,,,8,,,,3241,,,,1,,,4,,1,2,6,,,,,,,,148,,,28,,5,1,,1,,,1,1,3,19,1135,12,2,,2978,,29,,,,,,,,3,,,2,,2,,,,,2,,,58,,,,,6,,,1,,,,19,5,2,,,,,,,,1,1,,,623,,1,,10,28,1,,,,1,,2,,72,118,,,,,,,
3/19/20,,2,9,,3,,6,6,1,1,,21,,,,6,3,1,,,9,,,,3249,,1,1,1,,,6,,2,3,6,,,,,,,,243,,,44,,6,1,,1,,,1,1,4,25,1284,13,3,,3405,1,29,,,,,,,,4,,,4,,2,,1,,,2,,,77,,,,,7,,2,1,,,,17,5,3,,,1,,,,,1,1,,,830,,1,,11,41,1,,,1,3,,2,,138,200,,,,,,,
3/20/20,,2,11,,3,,7,6,1,1,,37,,,,11,3,1,,,12,,,,3253,,1,1,1,,,9,,2,5,8,,,,,,,,450,1,,67,,6,1,,1,,,3,,5,32,1433,17,3,,4032,1,33,,3,,,,,,4,,,4,,3,,1,,,3,,,107,,,,,7,,3,1,,,3,18,5,6,,,1,,,,1,1,1,,,1043,,1,,16,54,1,,,1,4,,3,2,178,244,,,,,,,
3/21/20,,2,15,,4,,7,8,1,2,,67,,,1,15,3,2,,,19,,,,3259,,2,1,1,,,13,,2,7,10,,,,,,,1,562,1,,84,1,13,1,,1,,,4,1,4,38,1556,17,3,1,4825,1,35,,,,,,,,4,,1,8,,4,,2,,,3,,,137,,,,,7,,3,1,,1,5,19,5,12,,,1,,,,1,1,1,,,1375,,1,,20,75,1,,,1,9,,3,2,234,307,,,,,,2,
3/22/20,,2,15,,4,,7,8,1,2,,67,,,1,15,3,2,,,19,,,,3259,,2,1,1,,,13,,2,7,10,,,,,,,1,562,1,,84,1,13,1,,1,,,4,1,4,38,1556,17,3,1,4825,1,35,,,,42,,,,4,,1,8,,4,,2,,,3,,,137,,,,,7,,3,1,,1,5,19,5,12,,,1,,,,1,1,1,,,1375,,1,,20,75,1,,,1,9,,3,2,234,307,,,,,,2,
